,0
age,0.09495745640827613
sex,0.03245951693189368
cp,0.10365331476792469
trestbps,0.08975617919773704
chol,0.09772370908920307
fbs,0.013488449040284359
restecg,0.01673694016788303
thalach,0.12859531842697963
exang,0.052209937789763045
oldpeak,0.10365898034599834
slope,0.033970586170053635
ca,0.12831080606616968
thal,0.1044788055978337
